text,labels
Ace feel joint annoyance every time I proceed,4
Single feel joint pain every prison term I propel,4
One feel joint botheration every time I move,4
Single experience joint infliction every time I move,4
I palpate joint pain in the neck every time I go,4
Iodin feel joint pain in the neck every time I move,4
"1 rear end ' t move my leg, there is pain in the joint",4
"i rear ' t move my leg, in that respect be pain in the joint",4
"i can ' t movement my stage, in that respect is pain in the joint",4
"i seat ' t relocation my ramification, there is pain in the neck in the joint",4
"i john ' t motion my peg, there is bother in the joint",4
"i fanny ' t move my leg, at that place is botheration in the joint",4
I have pimples in patches along with a pot of redness on my face.,5
I bear pimples in spell along with a lot of redness on my facial expression.,5
I have pimples in plot of land along with a lot of rubor on my look.,5
I have hickey in patch along with a lot of redness on my face.,5
I have got pimples in patches along with a fate of redness on my face.,5
I birth pimples in patches along with a lot of redness on my boldness.,5
My chest break out with red pimples and whitehead.,5
My chest prisonbreak ko'd with red pimples and whiteheads.,5
My chest break out with red pimples and milium.,5
My chest break come out of the closet with flushed pimples and whitehead.,5
My chest break out with red pimple and whitehead.,5
My chest breaking out with red hickey and whitehead.,5
"iodin consume whooping cough with excess mucous, need mucolytic.",6
"ace have whooping coughing with excess mucous, need mucolytic.",6
"i have whooping coughing with extra mucose, need mucolytic.",6
"i have whooping coughing with supernumerary mucous, need mucolytic.",6
"i have whooping coughing with excess mucose, need mucolytic.",6
"atomic number 53 have whooping cough with superfluous mucose, need mucolytic.",6
i pitch breathe,6
i cant over breathe,6
ace cant breathe,6
one cant breathe,6
i cant breathe,6
unity cant breathe,6
