text,labels
when i extend my leg there is pain in knee joint,4
I get i joint pain when i try to bend my leg or my arm,4
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",5
In highschool I had a lot of acne.,5
My cough is very heavy and I have mucus.,6
I feel congestion in my chest,6
when my i extend leg there is pain knee joint in,4
I extend when my leg there pain is in joint knee,4
I when extend my leg pain there is in joint knee,4
I extend when leg my there is pain in joint knee,4
I when extend leg there my pain is in knee joint,4
I extend when my leg there is pain in knee joint,4
I i get joint when pain try i to my bend leg my or arm,4
Get I i joint when pain i try to bend my leg or arm my,4
Get I i joint when i pain try to my bend leg my or arm,4
I I get joint when pain try i to my bend leg or my arm,4
I get i joint pain when i try to bend my or leg my arm,4
Get I joint i pain i when try bend to my leg my or arm,4
"My face broken has out in painful red spots and lumps, that no how much matter I clean my don face ' seem t to going be. away",5
"Face my has broken out in painful red spots lumps and, that matter no much how I clean my face ' don seem t to be away going.",5
"My has face painful broken out in red spots and lumps that, no matter how much I clean my face don t ' seem to going be away.",5
"My has face out broken painful in spots and red lumps, that no matter how I much clean face my ' don t seem to going be away.",5
"My has face out broken red in and painful spots, lumps that no matter how much I clean my face don ' t seem to be going away.",5
"My face broken has out in painful red spots lumps and, that no matter much I how clean face my don ' t to seem be away going.",5
Highschool in I a had lot acne of.,5
In I highschool had of a lot acne.,5
In I had highschool a of lot acne.,5
In I had highschool a lot of. acne,5
Highschool in I had lot a of. acne,5
Highschool in I had lot of a acne.,5
My cough is heavy and very I mucus have.,6
My cough is heavy very and have mucus I.,6
Cough my is very and heavy have I mucus.,6
Cough my is very I heavy and have mucus.,6
Cough my is heavy very and have I mucus.,6
My is cough very heavy I and mucus have.,6
Feel I congestion my in chest,6
Congestion I feel in my chest,6
I congestion feel my in chest,6
Feel I congestion my in chest,6
I feel congestion in my chest,6
Congestion I feel in my chest,6
