text,labels
I feel pain joint time every move I,4
Joint I pain feel every time I move,4
I feel pain joint every time I move,4
Feel joint I pain every I time move,4
Joint I feel pain every I time move,4
I feel joint pain time move every I,4
"i can ' move t leg my there pain, is in the joint",4
"i can ' t my move leg, is pain in the there joint",4
"Can I ' t move my leg there, in is pain joint the",4
"i can ' t move my, leg is pain there joint in the",4
"i can t ' my move leg, is there pain in the joint",4
"Can I ' t move my leg, there the is pain joint in",4
Have I pimples patches in along with a of lot redness my on. face,5
I have pimples in along patches with a of lot on redness my face.,5
I pimples have patches in along a with lot of redness on my face.,5
Have I pimples in patches along a with lot redness of on. my face,5
I have patches pimples in along with a lot redness of on my face.,5
Have I in pimples along patches with a lot of on redness face my.,5
My chest out break red with and pimples whiteheads.,5
Chest my break out with red pimples. and whiteheads,5
My chest out break with pimples red whiteheads and.,5
Chest my with break out red pimples and whiteheads.,5
My break chest out red with pimples whiteheads and.,5
Chest my break with red out pimples and whiteheads.,5
"i have whooping cough excess with mucous, need. mucolytic",6
"have I cough whooping with mucous excess, need. mucolytic",6
"Have I cough with whooping excess mucous, need. mucolytic",6
"i whooping with have cough excess, mucous need mucolytic.",6
"whooping I have with cough excess mucous, need. mucolytic",6
"i have whooping cough mucous with, need excess mucolytic.",6
cant I breathe,6
i breathe cant,6
cant I breathe,6
i breathe cant,6
Cant I breathe,6
i breathe cant,6
