text,labels
when i extend up my lower leg there is some pain in my knee joint,4
when i even extend out my left leg there is pain in like knee joint,4
when i extend my pant leg upwards there is pain right in my knee joint,4
when do i even extend my right leg there is pain in knee - joint,4
when i extend my leg now there is minor pain only in this knee joint,4
when i extend my leg then there are is acute pain beginning in knee joint,4
I get i joint pain from when u i try a to bend my leg down or my left arm,4
I get i joint arch pain when a i try out to straight bend my leg forward or my arm,4
I get i know joint ac pain when always i try to right bend my leg or my left arm,4
I get i knee joint pain worse when i try to easily bend my leg up or my bottom arm,4
I just get i suffer joint pain sometimes when m i try to bend my leg or my upper arm,4
I always get i called joint pain when i actually try to bend my leg or swing my left arm,4
"My dry face has broken out repeatedly in painful red spots - and lumps, that seemingly no matter how much I clean my dry face don't even seem healthy to simply be going straight away.",5
"My face itself has broken out in big painful little red swollen spots and lumps, things that no matter how - much I clean on my swollen face - don't seem to be going away.",5
"My face lately has broken out in some painful red swollen spots and pretty lumps, that no day matter how much I clean away my face things don't always seem to be completely going away.",5
"My face has broken straight out in painful red bleeding spots and white lumps, wounds that persist no matter the how damn much I clean on my face don't seem to magically be going away.",5
"My whole face has forever broken out now in those painful looking red black spots and lumps, that no matter how truly much I clean my face don't seem destined to be going slowly away.",5
"My sweaty face has broken out now in gigantic painful sticky red spots … and lumps, that no matter how much water I really clean my face now don't seem near to be going away.",5
In highschool I always had a long lot of severe acne.,5
In highschool I had had a lot cases of serious acne.,5
"In my highschool, I had a little lot of acne.",5
In highschool before I really had a hell lot of acne.,5
In highschool alone I had gotten a lot deal of acne.,5
In late highschool years I had had a lot of acne.,5
My dry cough is now very extremely heavy and occasionally I have mucus.,6
My cough itself is not very heavy and I normally have white mucus.,6
My throat cough wall is very heavy today and I have no mucus.,6
My cough is still very slightly heavy afterwards and somehow I have mucus.,6
My little cough sore is coming very heavy tonight and I have mucus.,6
My next cough and is quite very cold heavy and I have mucus.,6
I feel extra congestion in from my chest,6
I especially feel congestion in my middle chest,6
I feel the congestion in my entire chest,6
I feel some congestion increasing in my chest,6
I definitely feel more congestion in my chest,6
I could feel heavy congestion in my chest,6
